mode,domain,profile_name,config_id,seed,n_features,calibration,threshold_policy,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio
caregiver,conduct,base,rf_stability,83,21,isotonic,balanced,0.155,0.9534926553520897,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9800667475728156,0.9468260211037209,0.04150920758603591,-0.033373786407767,0.017263349514563153,0.024475524475524476,0.9452054794520548,0.8671328671328671,0.032134532134532136
caregiver,conduct,hardened_missing,rf_base,11,21,isotonic,balanced,0.13,0.9576456310679611,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9807038834951456,0.9514429364400863,0.041647296003035524,-0.002487864077669877,0.038592233009708765,0.14685314685314685,0.9583333333333334,0.8531468531468531,0.032134532134532136
caregiver,conduct,hardened_missing,rf_base,29,21,isotonic,balanced,0.17,0.9493971578334985,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9858009708737864,0.9523887002260504,0.04201492154945341,0.019053398058252458,0.020752427184466016,0.03146853146853147,0.9583333333333334,0.8356643356643356,0.032134532134532136
caregiver,conduct,hardened_missing,rf_base,47,21,isotonic,balanced,0.14500000000000002,0.9576456310679611,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9794902912621359,0.9446295625564751,0.04140150400232247,-0.019842233009708776,0.01847694174757286,0.027972027972027972,0.971830985915493,0.8496503496503497,0.032134532134532136
caregiver,conduct,hardened_missing,rf_base,83,21,isotonic,balanced,0.135,0.9618579893227843,0.9857142857142858,0.8625,0.9951456310679612,0.9288228155339806,0.92,0.9796723300970874,0.9453436017107892,0.038384700440913466,-0.01741504854368925,0.029915048543689315,0.14685314685314685,0.9857142857142858,0.8531468531468531,0.032134532134532136
caregiver,conduct,hardened_missing,rf_hardened,11,21,isotonic,balanced,0.17,0.9534926553520897,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9801274271844661,0.9466097480889327,0.04054790364294662,-0.008373786407766981,0.01380461165048541,0.02097902097902098,0.971830985915493,0.8601398601398601,0.032134532134532136
caregiver,conduct,hardened_missing,rf_hardened,29,21,isotonic,balanced,0.155,0.9534926553520897,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9800060679611651,0.9474960825865071,0.04207873247995598,0.013470873786407767,0.016049757281553445,0.1258741258741259,0.9583333333333334,0.8706293706293706,0.032134532134532136
caregiver,conduct,hardened_missing,rf_hardened,47,21,isotonic,balanced,0.155,0.9576456310679611,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9800667475728155,0.9446174409611044,0.04158168572069894,0.004793689320388372,0.02575849514563111,0.027972027972027972,0.971830985915493,0.8636363636363636,0.032134532134532136
caregiver,conduct,hardened_missing,rf_hardened,83,21,isotonic,balanced,0.17,0.9534926553520897,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.9803701456310681,0.946872329793935,0.041060344012483256,-0.014623786407766959,0.02560679611650485,0.02097902097902098,0.9452054794520548,0.8706293706293706,0.032134532134532136
caregiver,conduct,hardened_missing,rf_precision,11,21,isotonic,balanced,0.12000000000000001,0.9478402817437654,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.97436286407767,0.9430795593924731,0.04273025937075756,0.010012135922330079,0.028033980582524265,0.1258741258741259,0.9459459459459459,0.8741258741258742,0.032134532134532136
caregiver,conduct,hardened_missing,rf_precision,29,21,isotonic,balanced,0.12000000000000001,0.9518097324177125,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.974484223300971,0.9433119942624645,0.0415950427711812,0.033616504854368845,0.019538834951456363,0.1258741258741259,0.9459459459459459,0.8741258741258742,0.032134532134532136
caregiver,conduct,hardened_missing,rf_precision,47,21,isotonic,balanced,0.12000000000000001,0.9478402817437654,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.9745145631067961,0.9441851239407566,0.04177559332086127,0.02839805825242725,0.02196601941747578,0.1258741258741259,0.9459459459459459,0.8706293706293706,0.032134532134532136
caregiver,conduct,hardened_missing,rf_precision,83,21,isotonic,balanced,0.335,0.9470570388349515,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.974757281553398,0.9459561095932938,0.042631119753059284,0.07014563106796112,0.0053701456310679685,0.0034965034965034965,0.9452054794520548,0.9965034965034965,0.032134532134532136
caregiver,conduct,hardened_missing,rf_recall,11,21,isotonic,balanced,0.135,0.9618579893227843,0.9857142857142858,0.8625,0.9951456310679612,0.9288228155339806,0.92,0.9796723300970873,0.9458869451804234,0.038947593754993196,-0.004915048543689293,0.023331310679611694,0.15734265734265734,0.9857142857142858,0.8426573426573427,0.032134532134532136
caregiver,conduct,hardened_missing,rf_recall,29,21,isotonic,balanced,0.255,0.9534926553520897,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9787924757281553,0.942827433900148,0.04197228640189706,0.03125,0.006735436893203883,0.0034965034965034965,0.971830985915493,0.9895104895104895,0.032134532134532136
