feature,feature_label_human,feature_description,layer,domain,domains_final,module,criterion_ref,source_label,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,respondability_group,respondent_expected,administered_by,caregiver_answerable_yes_no,psychologist_answerable_yes_no,must_be_self_report_yes_no,is_direct_input,is_transparent_derived,show_in_questionnaire_yes_no,derivable_if_not_shown_yes_no,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,selection_rationale,questionnaire_section_suggested,questionnaire_subsection_suggested,needs_human_question_text,notes
scared_p_generalized_anxiety,Subescala de ansiedad generalizada (SCARED cuidador),Input for clean_base - Scared p generalized anxiety,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,106.0,106.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_generalized_anxiety,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_p_panic_somatic,Subescala de pánico/somático (SCARED cuidador),Input for clean_base - Scared p panic somatic,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,107.0,107.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_panic_somatic,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_p_possible_anxiety_disorder_cut25,Corte sugerente de ansiedad >= 25 (SCARED cuidador),Input for clean_base - Scared p possible anxiety disorder cut25,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,108.0,108.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_possible_anxiety_disorder_cut25,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_p_school_avoidance,Subescala de evitación escolar (SCARED cuidador),Input for clean_base - Scared p school avoidance,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,109.0,109.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_school_avoidance,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_p_separation_anxiety,Subescala de ansiedad por separación (SCARED cuidador),Input for clean_base - Scared p separation anxiety,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,110.0,110.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_separation_anxiety,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_p_social_anxiety,Subescala de ansiedad social (SCARED cuidador),Input for clean_base - Scared p social anxiety,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,111.0,111.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_social_anxiety,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_p_total,Puntuación total de SCARED del cuidador,Input for clean_base - Scared p total,clean_base,anxiety,anxiety,clean_base,na,SCARED_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,112.0,112.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Ansiedad (SCARED),scared_p_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_generalized_anxiety,Subescala de ansiedad generalizada (SCARED autorreporte),Input for clean_base - Scared sr generalized anxiety,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,157.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_generalized_anxiety,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_panic_somatic,Subescala de pánico/somático (SCARED autorreporte),Input for clean_base - Scared sr panic somatic,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,158.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_panic_somatic,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_possible_anxiety_disorder_cut25,Corte sugerente de ansiedad >= 25 (SCARED autorreporte),Input for clean_base - Scared sr possible anxiety disorder cut25,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,159.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_possible_anxiety_disorder_cut25,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_school_avoidance,Subescala de evitación escolar (SCARED autorreporte),Input for clean_base - Scared sr school avoidance,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,160.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_school_avoidance,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_separation_anxiety,Subescala de ansiedad por separación (SCARED autorreporte),Input for clean_base - Scared sr separation anxiety,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,161.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_separation_anxiety,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_social_anxiety,Subescala de ansiedad social (SCARED autorreporte),Input for clean_base - Scared sr social anxiety,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,162.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_social_anxiety,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
scared_sr_total,Puntuación total de SCARED de autorreporte,Input for clean_base - Scared sr total,clean_base,anxiety,anxiety,clean_base,na,SCARED_SR,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,psychologist_or_selfreport_only,psychologist_only,child,psychologist,no,si,si,si,no,si,no,no,no,no,no,no,si,,163.0,no_aplica,baja,feature retenida del clean-base auditado; solo psicólogo,Ansiedad (SCARED),scared_sr_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_conduct_problems,Subescala de problemas de conducta (SDQ),Input for clean_base - Sdq conduct problems,clean_base,adhd|anxiety|conduct|depression|elimination,adhd|anxiety|conduct|depression|elimination,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,113.0,113.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_conduct_problems,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_emotional_symptoms,Subescala de síntomas emocionales (SDQ),Input for clean_base - Sdq emotional symptoms,clean_base,adhd|anxiety|conduct|depression|elimination,adhd|anxiety|conduct|depression|elimination,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,114.0,114.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_emotional_symptoms,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_hyperactivity_inattention,Subescala de hiperactividad/inatención (SDQ),Input for clean_base - Sdq hyperactivity inattention,clean_base,adhd|anxiety|conduct|depression|elimination,adhd|anxiety|conduct|depression|elimination,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,115.0,115.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_hyperactivity_inattention,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_impact,Impacto total reportado (SDQ),Input for clean_base - Sdq impact,clean_base,adhd|anxiety|conduct|depression|elimination,adhd|anxiety|conduct|depression|elimination,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,116.0,116.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_impact,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_peer_problems,Subescala de problemas con pares (SDQ),Input for clean_base - Sdq peer problems,clean_base,adhd|anxiety|depression,adhd|anxiety|depression,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,117.0,117.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_peer_problems,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_prosocial_behavior,Subescala de conducta prosocial (SDQ),Input for clean_base - Sdq prosocial behavior,clean_base,adhd|anxiety|depression,adhd|anxiety|depression,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,118.0,118.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_prosocial_behavior,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sdq_total_difficulties,Puntuación total de dificultades (SDQ),Input for clean_base - Sdq total difficulties,clean_base,adhd|anxiety|conduct|depression|elimination,adhd|anxiety|conduct|depression|elimination,clean_base,na,SDQ,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,119.0,119.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Fortalezas y dificultades (SDQ),sdq_total_difficulties,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
sep_anx_01_distress_on_separation,Sep anx 01 distress on separation,Input for separation_anxiety - Sep anx 01 distress on separation,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A1,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,49.0,49.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_02_worry_losing_attachment_figures,Sep anx 02 worry losing attachment figures,Input for separation_anxiety - Sep anx 02 worry losing attachment figures,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A2,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,50.0,50.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_03_worry_event_causing_separation,Sep anx 03 worry event causing separation,Input for separation_anxiety - Sep anx 03 worry event causing separation,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A3,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,51.0,51.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_04_refuses_leaving_home_school,Sep anx 04 refuses leaving home school,Input for separation_anxiety - Sep anx 04 refuses leaving home school,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A4,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,52.0,52.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_05_fear_being_alone_without_attachment,Sep anx 05 fear being alone without attachment,Input for separation_anxiety - Sep anx 05 fear being alone without attachment,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A5,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,53.0,53.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_06_refuses_sleep_away_or_alone,Sep anx 06 refuses sleep away or alone,Input for separation_anxiety - Sep anx 06 refuses sleep away or alone,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A6,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,54.0,54.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_07_separation_nightmares,Sep anx 07 separation nightmares,Input for separation_anxiety - Sep anx 07 separation nightmares,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A7,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,55.0,55.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_08_physical_complaints_on_separation,Sep anx 08 physical complaints on separation,Input for separation_anxiety - Sep anx 08 physical complaints on separation,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A8,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,56.0,56.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_duration_weeks,Sep anx duration weeks,Input for separation_anxiety - Sep anx duration weeks,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_B,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,94.0,94.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_impairment,Sep anx impairment,Input for separation_anxiety - Sep anx impairment,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_C,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,81.0,81.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
sep_anx_not_better_explained,Sep anx not better explained,Input for separation_anxiety - Sep anx not better explained,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_D,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,139.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
sep_anx_symptom_count,Sep anx symptom count,Input for derived - Sep anx symptom count,dsm5,Anxiety,Anxiety,derived,Separation_A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
sep_anx_threshold_met,Sep anx threshold met,Input for separation_anxiety - Sep anx threshold met,dsm5,Anxiety,Anxiety,separation_anxiety,Separation_A-D,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
sex_assigned_at_birth,Sexo asignado al nacer,Input for clean_base - Sex assigned at birth,clean_base,adhd|anxiety|conduct|depression|elimination,adhd|anxiety|conduct|depression|elimination,clean_base,na,DEMOGRAPHIC,master_inference_ready_strict,basic_demographic,unspecified,model_input,safe_use,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,66.0,66.0,media,media,feature retenida del clean-base auditado; respondible por ambos roles,Datos básicos,sex_assigned_at_birth,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
social_anxiety_almost_always_triggered,Social anxiety almost always triggered,Input for social_anxiety - Social anxiety almost always triggered,dsm5,Anxiety,Anxiety,social_anxiety,Social_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,57.0,57.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_avoid_or_endure_intense,Social anxiety avoid or endure intense,Input for social_anxiety - Social anxiety avoid or endure intense,dsm5,Anxiety,Anxiety,social_anxiety,Social_D,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,58.0,58.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_children_peer_only_flag,Social anxiety children peer only flag,Input for social_anxiety - Social anxiety children peer only flag,dsm5,Anxiety,Anxiety,social_anxiety,Social_A_note,dsm5,dsm5,criteria_support,criteria_support,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,131.0,149.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_disproportionate,Social anxiety disproportionate,Input for social_anxiety - Social anxiety disproportionate,dsm5,Anxiety,Anxiety,social_anxiety,Social_E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,176.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
social_anxiety_duration_months,Social anxiety duration months,Input for social_anxiety - Social anxiety duration months,dsm5,Anxiety,Anxiety,social_anxiety,Social_F,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,95.0,95.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_fear_being_observed,Social anxiety fear being observed,Input for social_anxiety - Social anxiety fear being observed,dsm5,Anxiety,Anxiety,social_anxiety,Social_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,59.0,59.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_fear_interactions,Social anxiety fear interactions,Input for social_anxiety - Social anxiety fear interactions,dsm5,Anxiety,Anxiety,social_anxiety,Social_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,si,si,si,60.0,60.0,media,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_fear_negative_evaluation,Social anxiety fear negative evaluation,Input for social_anxiety - Social anxiety fear negative evaluation,dsm5,Anxiety,Anxiety,social_anxiety,Social_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,61.0,61.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_fear_performance,Social anxiety fear performance,Input for social_anxiety - Social anxiety fear performance,dsm5,Anxiety,Anxiety,social_anxiety,Social_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,62.0,62.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_impairment,Social anxiety impairment,Input for social_anxiety - Social anxiety impairment,dsm5,Anxiety,Anxiety,social_anxiety,Social_G,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,82.0,82.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
social_anxiety_not_better_explained,Social anxiety not better explained,Input for social_anxiety - Social anxiety not better explained,dsm5,Anxiety,Anxiety,social_anxiety,Social_IJ,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,140.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
social_anxiety_not_due_substance_medical,Social anxiety not due substance medical,Input for social_anxiety - Social anxiety not due substance medical,dsm5,Anxiety,Anxiety,social_anxiety,Social_H,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,141.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
social_anxiety_threshold_met,Social anxiety threshold met,Input for social_anxiety - Social anxiety threshold met,dsm5,Anxiety,Anxiety,social_anxiety,Social_A-J,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
swan_hyperactive_impulsive_total,Puntuación total de hiperactividad/impulsividad (SWAN),Input for clean_base - Swan hyperactive impulsive total,clean_base,adhd,adhd,clean_base,na,SWAN,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,120.0,120.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Atención e hiperactividad (SWAN),swan_hyperactive_impulsive_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
swan_inattention_total,Puntuación total de inatención (SWAN),Input for clean_base - Swan inattention total,clean_base,adhd,adhd,clean_base,na,SWAN,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,no,si,121.0,121.0,baja,baja,feature retenida del clean-base auditado; respondible por ambos roles,Atención e hiperactividad (SWAN),swan_inattention_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
swan_total,Puntuación total de SWAN,Input for clean_base - Swan total,clean_base,adhd,adhd,clean_base,na,SWAN,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,no,si,122.0,122.0,baja,baja,feature retenida del clean-base auditado; respondible por ambos roles,Atención e hiperactividad (SWAN),swan_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
