mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece
psychologist_1_3,elimination,engineered_full,rf_baseline,20261119,sigmoid,0.02653508961484023,0.04858735298170695
psychologist_1_3,elimination,engineered_full,rf_baseline,20261119,isotonic,0.019212962963852543,8.89583333338063e-07
psychologist_1_3,elimination,engineered_compact,rf_regularized,20261101,none,0.021685785948728817,0.02621556619541743
psychologist_1_3,elimination,engineered_compact,rf_regularized,20261101,sigmoid,0.020957081992458656,0.03993750855080015
psychologist_1_3,elimination,engineered_compact,rf_regularized,20261101,isotonic,0.015142973857146648,9.374999999940017e-07
psychologist_1_3,elimination,engineered_compact,rf_regularized,20261119,none,0.021534170840833356,0.026354195021089655
psychologist_1_3,elimination,engineered_compact,rf_regularized,20261119,sigmoid,0.021426982126706375,0.04047133543437493
psychologist_1_3,elimination,engineered_compact,rf_regularized,20261119,isotonic,0.015327380953318452,9.374999999940017e-07
psychologist_1_3,anxiety,full_eligible,rf_baseline,20261101,none,0.04580044514543018,0.0553747604136604
psychologist_1_3,anxiety,full_eligible,rf_baseline,20261101,sigmoid,0.04496342318565452,0.04835220687042296
psychologist_1_3,anxiety,full_eligible,rf_baseline,20261101,isotonic,0.03749395039394736,7.229166666362333e-07
psychologist_1_3,anxiety,full_eligible,rf_baseline,20261119,none,0.04691487285584694,0.04374060360668372
psychologist_1_3,anxiety,full_eligible,rf_baseline,20261119,sigmoid,0.04621640330091125,0.045039073473055705
psychologist_1_3,anxiety,full_eligible,rf_baseline,20261119,isotonic,0.03982543064458543,7.187499999917019e-07
psychologist_1_3,anxiety,engineered_full,rf_precision_push,20261101,none,0.039754918521611046,0.023595274588161727
psychologist_1_3,anxiety,engineered_full,rf_precision_push,20261101,sigmoid,0.04077419502978973,0.04311418056550713
psychologist_1_3,anxiety,engineered_full,rf_precision_push,20261101,isotonic,0.034996936275143144,6.333333333270386e-07
psychologist_1_3,anxiety,engineered_full,rf_precision_push,20261119,none,0.039627872471338366,0.026329473634089186
psychologist_1_3,anxiety,engineered_full,rf_precision_push,20261119,sigmoid,0.040630445305588805,0.03876264161451433
psychologist_1_3,anxiety,engineered_full,rf_precision_push,20261119,isotonic,0.03399999399545295,6.750000000326012e-07
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,20261101,none,0.054442402401360376,0.03998929446548822
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,20261101,sigmoid,0.05552570349160123,0.0517610440205961
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,20261101,isotonic,0.04663012542483466,6.81250000011498e-07
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,20261119,none,0.05525864848326914,0.04017958280423281
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,20261119,sigmoid,0.056492492377843075,0.056833122947313165
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,20261119,isotonic,0.04945337887442094,6.791666666861785e-07
psychologist_1_3,depression,balanced_subset,rf_baseline,20261101,none,0.053842262451786256,0.04391500705266956
psychologist_1_3,depression,balanced_subset,rf_baseline,20261101,sigmoid,0.0540597712500608,0.04632485250940861
psychologist_1_3,depression,balanced_subset,rf_baseline,20261101,isotonic,0.04658271468408036,6.791666666958929e-07
psychologist_1_3,depression,balanced_subset,rf_baseline,20261119,none,0.05489067610611874,0.042652411670274185
psychologist_1_3,depression,balanced_subset,rf_baseline,20261119,sigmoid,0.0559174260613833,0.05079336420842429
psychologist_1_3,depression,balanced_subset,rf_baseline,20261119,isotonic,0.047450778388957546,6.791666666911549e-07
psychologist_2_3,adhd,engineered_pruned,rf_regularized,20261101,none,0.049887283925732794,0.03572944551180369
psychologist_2_3,adhd,engineered_pruned,rf_regularized,20261101,sigmoid,0.05019036941240026,0.03515848496338456
psychologist_2_3,adhd,engineered_pruned,rf_regularized,20261101,isotonic,0.044798519155870145,7.333333333771493e-07
psychologist_2_3,adhd,engineered_pruned,rf_regularized,20261119,none,0.05092968017010695,0.030617779391767363
psychologist_2_3,adhd,engineered_pruned,rf_regularized,20261119,sigmoid,0.05101896804889717,0.04182739769310863
psychologist_2_3,adhd,engineered_pruned,rf_regularized,20261119,isotonic,0.045626251333033045,6.791666666615923e-07
psychologist_2_3,adhd,engineered_full,rf_pos_weight_mid,20261101,none,0.049969790698772054,0.023190175465391854
