domain,role,feature,model_importance_score,questionnaire_rank,rank_score,domain_score,core_score,composite_importance,feature_type,selection_rationale
depression,psychologist,dmdd_context_peers,0.013690761719993755,154.0,0.14525139664804465,1.0,1.0,0.3358956601896058,context_flag,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_fear_05_outside_home_alone,0.008454238458950807,100.0,0.44692737430167595,0.7,1.0,0.3336125940898106,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
depression,psychologist,age_years,0.008507737346268864,64.0,0.6480446927374302,0.7,0.45,0.31886280722062044,basic_demographic,feature retenida del clean-base auditado; respondible por ambos roles
depression,psychologist,agor_almost_always_triggered,0.02720445580171577,125.0,0.3072625698324022,0.7,1.0,0.3150547418673383,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
depression,psychologist,dmdd_no_mania_hypomania,0.005971278342181608,127.0,0.2960893854748603,1.0,0.45,0.30720351626606285,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,dmdd_no_substance_medical,0.004448752776722066,128.0,0.2905027932960894,1.0,0.45,0.3053249350475789,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,mdd_no_mania_hypomania_history,0.01662919687153798,134.0,0.25698324022346364,1.0,0.45,0.3047112464804617,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,mdd_not_due_substance_medical,0.017851887077160924,135.0,0.25139664804469275,1.0,0.45,0.304205273147519,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,dmdd_not_better_explained,0.001344859275160053,129.0,0.2849162011173184,1.0,0.45,0.3026556698610437,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,mdd_not_psychotic_explained,0.01240292332133539,136.0,0.24581005586592175,1.0,0.45,0.30036347283385206,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,pdd_no_mania_hypomania,0.010448652937458211,137.0,0.24022346368715086,1.0,0.45,0.2982690192061593,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,pdd_no_substance_medical,0.005952562466848486,138.0,0.23463687150837986,1.0,0.45,0.29490365553510023,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,adhd_onset_before_12,0.00390690172850161,85.0,0.5307262569832403,0.7,0.45,0.29309870226089885,history_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,pdd_no_gap_gt_2_months,0.02815583751284228,156.0,0.13407821229050276,1.0,0.45,0.2858935612145217,binary,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
depression,psychologist,adhd_context_other,0.011886797250893066,150.0,0.16759776536312854,0.7,1.0,0.2794629516980722,context_flag,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
depression,psychologist,dmdd_developmentally_inappropriate,0.028204811782773776,173.0,0.03910614525139666,1.0,0.45,0.2669236349416662,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo
depression,psychologist,pdd_no_psychotic_explained,0.016147622473382136,175.0,0.027932960893854775,1.0,0.45,0.25866040341546204,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo
depression,psychologist,adhd_not_better_explained_other_mental,0.012244826177843454,123.0,0.3184357541899442,0.7,0.45,0.25480956392691057,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
depression,psychologist,adhd_not_psychosis_exclusive,0.0013035306522669254,124.0,0.3128491620111732,0.7,0.45,0.2482215977283681,exclusion_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo
